Type,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Outcome,Removal of more than just outer clothing,Road name,postcode,Postal code,Time difference
1,51.516508,-0.079398,1,2,14,3,4,0,Devonshire Square,"14,15, Devonshire Square, Bishopsgate, City of London, Greater London, England, EC2M 4YT, United Kingdom",EC2M 4YT,5.0
1,51.516508,-0.079398,1,2,15,3,4,0,Devonshire Square,"14,15, Devonshire Square, Bishopsgate, City of London, Greater London, England, EC2M 4YT, United Kingdom",EC2M 4YT,96.0
1,51.516497,-0.094115,1,2,13,0,0,0,,"Cheap, City of London, Greater London, England, EC2V 7AF, United Kingdom",EC2V 7AF,90.0
0,51.51265,-0.101452,1,1,13,0,2,0,St Andrew's Hill,"The Cockpit, 7, St Andrew's Hill, Blackfriars, City of London, Greater London, England, EC4V 5BY, United Kingdom",EC4V 5BY,75.0
0,51.51265,-0.101452,1,1,13,0,4,0,St Andrew's Hill,"The Cockpit, 7, St Andrew's Hill, Blackfriars, City of London, Greater London, England, EC4V 5BY, United Kingdom",EC4V 5BY,3.0
0,51.51265,-0.101452,1,2,13,3,1,1,St Andrew's Hill,"The Cockpit, 7, St Andrew's Hill, Blackfriars, City of London, Greater London, England, EC4V 5BY, United Kingdom",EC4V 5BY,20.0
0,51.511749,-0.108018,1,4,17,4,1,0,Temple Avenue,"Tempio Bar & Restaurant, 5-9, Temple Avenue, Blackfriars, City of London, Greater London, England, EC4Y 0HP, United Kingdom",EC4Y 0HP,8.0
1,51.504439,-0.090915,0,2,16,3,1,0,Marshalsea Road,"Roman Southwark, Marshalsea Road, Bankside, The Borough, London Borough of Southwark, London, Greater London, England, SE1 1UN, United Kingdom",SE1 1UN,115.0
0,51.517032,-0.089451,1,2,6,1,1,0,Coleman Street,"80, Coleman Street, Barbican, City of London, Greater London, England, EC2R 5BJ, United Kingdom",EC2R 5BJ,26.0
0,51.55269,-0.109594,1,3,8,2,1,0,Benwell Road,"40, Benwell Road, Lower Holloway, London Borough of Islington, London, Greater London, England, N7 7BA, United Kingdom",N7 7BA,3.0
0,51.513171,-0.077694,1,2,15,2,1,0,Aldgate,"88-90, Aldgate, City of London, Greater London, England, EC3M 4ST, United Kingdom",EC3M 4ST,4.0
0,51.509848,-0.104494,1,3,13,1,1,0,Blackfriars Bridge,"Blackfriars Bridge, Blackfriars, City of London, Greater London, England, EC4Y 0DH, United Kingdom",EC4Y 0DH,70.0
0,51.509848,-0.104494,1,2,5,1,0,0,Blackfriars Bridge,"Blackfriars Bridge, Blackfriars, City of London, Greater London, England, EC4Y 0DH, United Kingdom",EC4Y 0DH,1.0
0,51.518864,-0.097562,1,1,1,0,1,0,Aldersgate Street,"160, Aldersgate Street, Cheap, City of London, Greater London, England, EC1A 4HT, United Kingdom",EC1A 4HT,3.0
1,51.505103,-0.099677,1,3,15,3,1,0,Lavington Street,"Wikimedia UK, 5-11, Lavington Street, Bankside, The Borough, London Borough of Southwark, London, Greater London, England, SE1 0NZ, United Kingdom",SE1 0NZ,1.0
1,51.513952,-0.085833,1,1,1,0,0,0,Finch Lane,"Cock and Woolpack, 6, Finch Lane, Cornhill, City of London, Greater London, England, EC3V 3NA, United Kingdom",EC3V 3NA,63.0
0,51.514151,-0.074958,1,2,13,1,0,1,Aldgate High Street,"Aldgate House, 33, Aldgate High Street, Aldgate, City of London, Greater London, England, EC3N 1DL, United Kingdom",EC3N 1DL,26.0
1,51.516814,-0.08162,1,2,13,1,0,1,Alderman's Walk,"St Botolph-without-Bishopsgate, Alderman's Walk, Bishopsgate, City of London, Greater London, England, EC2M 3TL, United Kingdom",EC2M 3TL,1.0
