,Type,Date,Latitude,Longitude,Object of search,Outcome linked to object of search
915,Person search,2020-03-07T03:28:30+00:00,51.516814,-0.08162,Article for use in theft,1
919,Person search,2020-03-07T11:33:57+00:00,51.517149,-0.08776,Controlled drugs,1
929,Person and Vehicle search,2020-03-09T04:16:00+00:00,51.511625,-0.081549,Controlled drugs,1
933,Person search,2020-03-10T05:01:31+00:00,51.512598,-0.084967,Article for use in theft,1
936,Person search,2020-03-10T10:57:11+00:00,51.511118,-0.090203,Article for use in theft,1
937,Person and Vehicle search,2020-03-10T11:42:19+00:00,51.509775,-0.085014,Controlled drugs,1
939,Person search,2020-03-11T08:55:55+00:00,51.516814,-0.08162,Stolen goods,1
940,Person search,2020-03-11T09:04:45+00:00,51.512598,-0.084967,Article for use in theft,1
943,Person and Vehicle search,2020-03-12T01:20:54+00:00,51.508066,-0.08778,Controlled drugs,1
944,Person search,2020-03-12T03:53:40+00:00,51.512526,-0.098777,Stolen goods,1
948,Person search,2020-03-13T04:31:51+00:00,51.516147,-0.082066,Controlled drugs,1
949,Person search,2020-03-13T07:41:51+00:00,51.514203,-0.094628,Controlled drugs,1
953,Person search,2020-03-13T10:08:40+00:00,51.511828,-0.080244,Stolen goods,1
954,Person and Vehicle search,2020-03-13T11:06:28+00:00,51.516966,-0.1059,Controlled drugs,1
957,Person and Vehicle search,2020-03-14T03:37:19+00:00,51.514461,-0.092268,Controlled drugs,1
962,Person search,2020-03-15T04:18:49+00:00,51.511916,-0.076853,Controlled drugs,1
970,Person search,2020-03-16T06:05:04+00:00,51.516814,-0.08162,Stolen goods,1
973,Person search,2020-03-16T09:30:05+00:00,51.513914,-0.11071,Article for use in theft,1
979,Person search,2020-03-18T07:38:06+00:00,51.515142,-0.097645,Stolen goods,1
983,Person search,2020-03-19T01:49:53+00:00,51.517678,-0.107672,Offensive weapons,1
987,Person search,2020-03-19T03:08:50+00:00,51.511625,-0.081549,Stolen goods,1
988,Person and Vehicle search,2020-03-19T07:38:13+00:00,51.509344,-0.080665,Offensive weapons,1
994,Person search,2020-03-20T09:03:49+00:00,51.512598,-0.084967,Stolen goods,1
1004,Person search,2020-03-23T05:35:02+00:00,51.512598,-0.084967,Article for use in theft,1
1005,Person and Vehicle search,2020-03-23T05:58:51+00:00,51.512147,-0.092077,Controlled drugs,1
1011,Person search,2020-03-24T02:49:43+00:00,51.514203,-0.094628,Article for use in theft,1
1017,Person search,2020-03-25T03:43:06+00:00,51.511014,-0.076113,Stolen goods,1
1022,Person search,2020-03-26T08:22:06+00:00,51.511122,-0.087666,Controlled drugs,1
1023,Person search,2020-03-26T08:46:41+00:00,51.510671,-0.084284,Offensive weapons,1
1024,Person and Vehicle search,2020-03-26T09:47:16+00:00,51.509848,-0.104494,Controlled drugs,1
1027,Person and Vehicle search,2020-03-26T11:39:52+00:00,51.517728,-0.10238,Controlled drugs,1
1028,Person and Vehicle search,2020-03-26T11:48:11+00:00,51.512147,-0.092077,Controlled drugs,1
1032,Person and Vehicle search,2020-03-27T05:29:11+00:00,51.516867,-0.022004,Controlled drugs,1
1046,Person search,2020-03-30T02:37:15+00:00,51.512135,-0.078127,Stolen goods,1
1049,Person search,2020-03-31T06:37:28+00:00,51.513869,-0.105134,Stolen goods,1
1051,Person search,2020-04-01T05:26:18+00:00,51.51283,-0.108175,Stolen goods,1
1053,Person and Vehicle search,2020-04-02T00:54:17+00:00,51.516351,-0.082965,Controlled drugs,1
1058,Person and Vehicle search,2020-04-03T09:22:46+00:00,51.515546,-0.070056,Controlled drugs,1
1059,Person and Vehicle search,2020-04-03T11:03:08+00:00,51.516047,-0.075411,Controlled drugs,1
1062,Person search,2020-04-06T05:59:12+00:00,51.520699,-0.097601,Stolen goods,1
1063,Person search,2020-04-06T08:08:22+00:00,51.510651,-0.080322,Stolen goods,1
