,Date,Latitude,Longitude,Object of search,Outcome linked to object of search
6941,2022-05-30 22:40:56,51.518433,-0.078856,Controlled drugs,1
6952,2022-05-31 22:09:40,51.510182,-0.092865,Controlled drugs,1
6953,2022-05-31 22:09:40,51.510182,-0.092865,Controlled drugs,1
6954,2022-05-31 22:12:08,51.510182,-0.092865,Controlled drugs,1
6955,2022-05-31 22:12:08,51.510182,-0.092865,Controlled drugs,1
6958,2022-06-02 02:17:48,51.523053,-0.108631,Controlled drugs,1
6962,2022-06-02 20:57:00,51.520474,-0.075556,Article for use in theft,1
6964,2022-06-02 23:41:47,51.520474,-0.075556,Article for use in theft,1
6968,2022-06-03 04:21:50,51.515033,-0.07825,Controlled drugs,1
6973,2022-06-04 22:36:34,51.517244,-0.080376,Stolen goods,1
6975,2022-06-05 05:16:57,51.51265,-0.101452,Controlled drugs,1
6976,2022-06-05 13:02:59,51.51265,-0.101452,Controlled drugs,1
6977,2022-06-05 23:49:28,51.516966,-0.1059,Controlled drugs,1
6979,2022-06-07 00:05:59,51.520985,-0.078749,Controlled drugs,1
6981,2022-06-07 08:40:22,51.515196,-0.071772,Controlled drugs,1
6982,2022-06-07 08:44:07,51.516814,-0.08162,Controlled drugs,1
6983,2022-06-07 10:38:44,51.517431,-0.082458,Stolen goods,1
6986,2022-06-08 14:59:43,51.520985,-0.078749,Controlled drugs,1
6989,2022-06-08 23:09:57,51.525655,-0.090517,Controlled drugs,1
6990,2022-06-08 23:52:18,51.508066,-0.08778,Stolen goods,1
6997,2022-06-09 18:18:39,51.512462,-0.076095,Article for use in theft,1
6998,2022-06-10 13:30:03,51.516814,-0.08162,Controlled drugs,1
7002,2022-06-11 02:26:02,51.51322,-0.095015,Stolen goods,1
7005,2022-06-11 21:25:20,51.515728,-0.078393,Controlled drugs,1
7020,2022-06-14 12:46:22,51.513435,-0.075146,Offensive weapons,1
7021,2022-06-14 13:42:01,51.516733,-0.104252,Article for use in theft,1
7023,2022-06-14 16:37:52,51.510651,-0.080322,Controlled drugs,1
7038,2022-06-16 20:46:03,51.506338,-0.088227,Controlled drugs,1
7042,2022-06-17 19:45:41,51.51265,-0.101452,Evidence of offences under the Act,1
7044,2022-06-18 07:16:14,51.51868,-0.085173,Controlled drugs,1
7048,2022-06-20 13:04:38,51.515031,-0.100748,Controlled drugs,1
7049,2022-06-20 19:59:29,51.515621,-0.085086,Controlled drugs,1
7051,2022-06-21 22:22:07,51.517244,-0.080376,Article for use in theft,1
7053,2022-06-22 02:29:37,51.509344,-0.080665,Controlled drugs,1
7066,2022-06-24 03:15:57,51.520678,-0.080318,Controlled drugs,1
7070,2022-06-24 21:01:58,51.517244,-0.080376,Stolen goods,1
7072,2022-06-24 22:03:25,51.51868,-0.085173,Controlled drugs,1
7075,2022-06-25 01:40:29,51.515033,-0.07825,Controlled drugs,1
7077,2022-06-25 06:51:25,51.515033,-0.07825,Controlled drugs,1
7088,2022-06-27 15:42:57,51.510873,-0.105561,Stolen goods,1
7089,2022-06-27 16:43:31,51.513447,-0.093493,Controlled drugs,1
7091,2022-06-27 20:56:47,51.550955,-0.110157,Offensive weapons,1
7097,2022-06-28 22:29:00,51.517244,-0.080376,Stolen goods,1
7099,2022-06-30 06:31:21,51.512598,-0.084967,Controlled drugs,1
7101,2022-06-30 16:29:25,51.514158,-0.100179,Controlled drugs,1
7108,2022-06-30 22:05:45,51.512598,-0.084967,Offensive weapons,1
7111,2022-07-01 09:30:47,51.517785,-0.079907,Controlled drugs,1
7112,2022-07-01 14:22:46,51.517656,-0.077563,Controlled drugs,1
7119,2022-07-01 21:15:10,51.515894,-0.075922,Controlled drugs,1
7120,2022-07-01 21:19:03,51.515894,-0.075922,Controlled drugs,1
7127,2022-07-03 10:23:58,51.517785,-0.079907,Stolen goods,1
7128,2022-07-03 18:05:03,51.517785,-0.079907,Controlled drugs,1
7134,2022-07-05 10:52:54,51.51908,-0.103679,Stolen goods,1
7137,2022-07-06 15:54:03,51.514627,-0.072156,Controlled drugs,1
7142,2022-07-06 16:47:19,51.513813,-0.073531,Controlled drugs,1
7144,2022-07-06 18:08:07,51.5131,-0.072542,Controlled drugs,1
7147,2022-07-07 15:57:40,51.513874,-0.096501,Controlled drugs,1
7151,2022-07-09 02:50:35,51.5131,-0.072542,Controlled drugs,1
7156,2022-07-10 01:44:46,51.514267,-0.079838,Controlled drugs,1
7158,2022-07-10 02:55:22,51.516212,-0.078849,Controlled drugs,1
7159,2022-07-10 03:51:30,51.51477,-0.101292,Controlled drugs,1
7161,2022-07-10 04:15:18,51.514267,-0.079838,Controlled drugs,1
7172,2022-07-11 16:33:24,51.514912,-0.07912,Article for use in theft,1
7178,2022-07-12 18:50:05,51.513736,-0.095224,Stolen goods,1
7182,2022-07-13 02:26:03,51.503329,-0.091725,Controlled drugs,1
7185,2022-07-13 10:42:22,51.486588,0.102605,Firearms,1
7189,2022-07-13 18:02:24,51.512624,-0.087157,Stolen goods,1
7191,2022-07-14 04:34:39,51.519119,-0.056615,Controlled drugs,1
7194,2022-07-14 15:43:59,51.514626,-0.097291,Article for use in theft,1
7195,2022-07-14 18:13:34,51.513712,-0.104276,Controlled drugs,1
7198,2022-07-15 17:09:48,51.509965,-0.078477,Offensive weapons,1
7199,2022-07-15 17:59:21,51.517102,-0.088785,Controlled drugs,1
7200,2022-07-15 18:03:15,51.517102,-0.088785,Controlled drugs,1
7202,2022-07-15 22:36:45,51.511794,-0.101906,Article for use in theft,1
7207,2022-07-16 08:29:13,51.510725,-0.084844,Controlled drugs,1
7209,2022-07-17 17:08:15,51.518692,-0.081512,Firearms,1
7213,2022-07-19 19:51:39,51.511196,-0.079521,Stolen goods,1
7217,2022-07-20 12:49:54,51.511794,-0.101906,Controlled drugs,1
7218,2022-07-20 15:57:13,51.510836,-0.097176,Controlled drugs,1
7219,2022-07-20 17:48:26,51.513911,-0.102726,Controlled drugs,1
7222,2022-07-21 14:53:04,51.520455,-0.082648,Firearms,1
7225,2022-07-22 23:44:25,51.50882,-0.081091,Controlled drugs,1
7226,2022-07-23 00:20:31,51.50882,-0.081091,Controlled drugs,1
7229,2022-07-23 19:21:22,51.5131,-0.072542,Controlled drugs,1
7254,2022-07-26 14:34:35,51.517656,-0.077563,Controlled drugs,1
7255,2022-07-26 16:40:28,51.515812,-0.077511,Controlled drugs,1
7257,2022-07-27 03:45:29,51.513874,-0.096501,Controlled drugs,1
7261,2022-07-28 03:25:33,51.516869,-0.081113,Stolen goods,1
7262,2022-07-28 12:57:45,51.510725,-0.084844,Article for use in theft,1
7263,2022-07-28 13:33:06,51.517102,-0.088785,Article for use in theft,1
7264,2022-07-28 14:04:07,51.517296,-0.081902,Stolen goods,1
7265,2022-07-28 16:34:34,51.512882,-0.084754,Evidence of offences under the Act,1
7266,2022-07-28 18:48:20,51.517326,-0.079883,Stolen goods,1
7267,2022-07-28 18:54:27,51.516271,-0.092971,Controlled drugs,1
7268,2022-07-28 18:59:06,51.516271,-0.092971,Controlled drugs,1
7273,2022-07-28 22:24:17,51.518692,-0.081512,Controlled drugs,1
7275,2022-07-28 23:59:51,51.521435,-0.094759,Offensive weapons,1
7299,2022-07-29 22:59:13,51.511896,-0.09154,Offensive weapons,1
7304,2022-07-31 06:29:26,51.511794,-0.101906,Controlled drugs,1
7313,2022-08-03 21:29:19,51.513079,-0.09407,Controlled drugs,1
7317,2022-08-03 22:10:32,51.513079,-0.09407,Controlled drugs,1
7327,2022-08-05 10:25:08,51.518093,-0.078424,Controlled drugs,1
7329,2022-08-05 11:01:51,51.513736,-0.095224,Article for use in theft,1
7338,2022-08-06 19:13:15,51.517239,-0.106076,Controlled drugs,1
7339,2022-08-07 01:34:39,51.517296,-0.081902,Controlled drugs,1
7342,2022-08-07 08:07:20,51.509872,-0.092633,Controlled drugs,1
7343,2022-08-07 20:00:29,51.561206,-0.073115,Offensive weapons,1
7344,2022-08-08 14:18:16,51.518692,-0.081512,Stolen goods,1
7348,2022-08-08 23:05:24,51.509785,-0.068095,Article for use in theft,1
7349,2022-08-08 23:11:30,51.509785,-0.068095,Article for use in theft,1
7351,2022-08-10 01:49:05,51.509872,-0.092633,Controlled drugs,1
7353,2022-08-10 10:15:24,51.514626,-0.097291,Stolen goods,1
7354,2022-08-10 11:51:03,51.518692,-0.081512,Controlled drugs,1
7360,2022-08-11 06:39:33,51.514924,-0.074925,Controlled drugs,1
7363,2022-08-11 18:35:48,51.513736,-0.095224,Controlled drugs,1
7364,2022-08-11 18:39:32,51.513736,-0.095224,Controlled drugs,1
7365,2022-08-11 21:38:02,51.513736,-0.095224,Controlled drugs,1
7378,2022-08-12 19:52:49,51.513209,-0.0949,Controlled drugs,1
7379,2022-08-12 20:55:26,51.511794,-0.101906,Controlled drugs,1
7381,2022-08-13 05:43:03,51.517687,-0.112111,Controlled drugs,1
7385,2022-08-13 23:07:38,51.506722,-0.088586,Controlled drugs,1
7386,2022-08-14 00:08:33,51.516869,-0.081113,Controlled drugs,1
7387,2022-08-14 07:23:26,51.517296,-0.081902,Controlled drugs,1
7389,2022-08-14 20:23:44,51.511884,-0.108027,Controlled drugs,1
7393,2022-08-15 07:45:58,51.511196,-0.079521,Controlled drugs,1
7403,2022-08-17 17:18:30,51.513666,-0.078278,Controlled drugs,1
7404,2022-08-17 19:05:38,51.512033,-0.10498,Article for use in theft,1
7407,2022-08-19 11:29:44,51.512105,-0.085089,Stolen goods,1
7408,2022-08-19 17:17:35,51.516271,-0.092971,Stolen goods,1
7409,2022-08-19 22:31:37,51.517296,-0.081902,Controlled drugs,1
7413,2022-08-20 00:43:09,51.516869,-0.081113,Controlled drugs,1
7416,2022-08-20 04:54:45,51.518692,-0.081512,Controlled drugs,1
7418,2022-08-20 06:18:56,51.52355,-0.099284,Stolen goods,1
7420,2022-08-20 12:56:50,51.515383,-0.078783,Offensive weapons,1
7421,2022-08-20 14:56:58,51.51777,-0.078495,Controlled drugs,1
7424,2022-08-20 20:48:29,51.519689,-0.098017,Controlled drugs,1
7425,2022-08-20 21:44:46,51.519689,-0.098017,Controlled drugs,1
7428,2022-08-21 00:47:38,51.517785,-0.079907,Controlled drugs,1
7429,2022-08-21 00:47:38,51.517785,-0.079907,Controlled drugs,1
7430,2022-08-21 00:47:38,51.517785,-0.079907,Controlled drugs,1
7435,2022-08-21 19:38:37,51.511196,-0.079521,Stolen goods,1
7444,2022-08-23 21:17:58,51.513209,-0.0949,Controlled drugs,1
7449,2022-08-25 05:51:34,51.513631,-0.086019,Controlled drugs,1
7465,2022-08-26 20:12:22,51.51277,-0.118367,Controlled drugs,1
7469,2022-08-27 08:09:52,51.511896,-0.09154,Controlled drugs,1
7473,2022-08-27 09:09:12,51.511896,-0.09154,Controlled drugs,1
7482,2022-08-29 13:39:00,51.510761,-0.101963,Controlled drugs,1
7483,2022-08-29 13:46:12,51.510761,-0.101963,Controlled drugs,1
7493,2022-08-30 01:30:31,51.511037,-0.096274,Controlled drugs,1
