,Date,Latitude,Longitude,Outcome linked to object of search,Object of search_Article for use in theft,Object of search_Articles for use in criminal damage,Object of search_Controlled drugs,Object of search_Crossbows,Object of search_Evidence of offences under the Act,Object of search_Firearms,Object of search_Offensive weapons,Object of search_Stolen goods
170,2020-02-06 03:48:30,51.513377,-0.096363,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
171,2020-02-06 09:15:29,51.517576,-0.079786,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
172,2020-02-07 04:11:29,51.51142,-0.097699,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
173,2020-02-07 05:55:34,51.518864,-0.097562,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
174,2020-02-07 12:04:57,51.519017,-0.099818,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175,2020-02-08 04:23:48,51.515739,-0.100632,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
176,2020-02-08 04:35:27,51.518226,-0.111497,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
177,2020-02-08 08:41:54,51.516508,-0.079398,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
178,2020-02-09 05:30:35,51.511616,-0.086551,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179,2020-02-09 05:43:13,51.517576,-0.079786,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,2020-02-10 08:27:47,51.516966,-0.1059,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
181,2020-02-12 08:38:47,51.516508,-0.079398,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
182,2020-02-13 04:44:04,51.516814,-0.08162,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
183,2020-02-13 05:45:20,51.516476,-0.111181,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
184,2020-02-16 02:30:01,51.516497,-0.094115,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
185,2020-02-19 04:39:24,51.51265,-0.101452,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
186,2020-02-19 07:14:10,51.51265,-0.101452,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
187,2020-02-19 07:27:26,51.512682,-0.084618,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
188,2020-02-19 12:17:50,51.514203,-0.094628,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
189,2020-02-20 03:13:52,51.51265,-0.101452,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
190,2020-02-20 10:56:24,51.511749,-0.108018,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
191,2020-02-20 11:32:56,51.51265,-0.101452,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
192,2020-02-21 02:38:29,51.513885,-0.102741,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
193,2020-02-21 02:39:08,51.513885,-0.102741,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
194,2020-02-22 07:49:58,51.512598,-0.084967,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
195,2020-02-24 02:22:03,51.51144,-0.083993,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
196,2020-02-24 12:04:12,51.514203,-0.094628,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197,2020-02-25 05:28:32,51.504439,-0.090915,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
198,2020-02-25 09:14:08,51.513037,-0.091506,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199,2020-02-25 10:06:52,51.516814,-0.08162,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
200,2020-02-26 06:46:02,51.517032,-0.089451,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
201,2020-02-26 08:55:33,51.513037,-0.091506,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
202,2020-02-26 09:22:39,51.55269,-0.109594,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
203,2020-02-26 12:41:26,51.513171,-0.077694,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
204,2020-02-28 08:51:30,51.513928,-0.108231,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
205,2020-02-28 10:52:45,51.518262,-0.088203,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
206,2020-02-29 06:18:24,51.515331,-0.089364,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207,2020-02-29 08:23:08,51.513928,-0.108231,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208,2020-02-29 09:48:42,51.509848,-0.104494,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
209,2020-02-29 10:07:26,51.509848,-0.104494,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
210,2020-02-29 12:52:29,51.518864,-0.097562,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
211,2020-02-29 12:54:02,51.505103,-0.099677,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
212,2020-03-02 01:26:22,51.516814,-0.08162,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
213,2020-03-02 02:08:32,51.516814,-0.08162,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
214,2020-03-03 03:49:33,51.513952,-0.085833,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
215,2020-03-04 04:49:44,51.514151,-0.074958,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
216,2020-03-04 04:50:02,51.516814,-0.08162,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
217,2020-03-04 07:34:50,51.51121,-0.094206,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
218,2020-03-06 02:58:13,51.516814,-0.08162,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
219,2020-03-06 10:57:35,51.512147,-0.092077,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
